keap1_mutant,oof_probability
0.000000000000000000e+00,1.971958695548634843e-01
0.000000000000000000e+00,1.820230124037933161e-01
0.000000000000000000e+00,1.897464465126148525e-01
0.000000000000000000e+00,1.762324736518927071e-01
0.000000000000000000e+00,1.814555013652794369e-01
0.000000000000000000e+00,1.287297481232586305e-01
1.000000000000000000e+00,4.203139325021736927e-01
0.000000000000000000e+00,5.863861990008954750e-02
1.000000000000000000e+00,5.990021789487917081e-01
1.000000000000000000e+00,2.160813422028582398e-01
0.000000000000000000e+00,1.923996871598776803e-01
1.000000000000000000e+00,4.951390874326469516e-01
0.000000000000000000e+00,1.930205158971765311e-01
0.000000000000000000e+00,1.762581449788459265e-01
1.000000000000000000e+00,2.817130512808042608e-01
1.000000000000000000e+00,3.750505950280401679e-01
0.000000000000000000e+00,5.411549582430787986e-01
1.000000000000000000e+00,9.968550201746648742e-01
0.000000000000000000e+00,1.823051871157002624e-01
0.000000000000000000e+00,8.209994924964524043e-02
0.000000000000000000e+00,1.769378312651957996e-01
0.000000000000000000e+00,1.509751306008332850e-01
0.000000000000000000e+00,1.939436227904385579e-01
0.000000000000000000e+00,1.338178861540862685e-01
0.000000000000000000e+00,1.765915159841691950e-01
1.000000000000000000e+00,3.941640445780120183e-01
0.000000000000000000e+00,1.844350705873967211e-01
1.000000000000000000e+00,2.852510969993863887e-01
0.000000000000000000e+00,1.667908075489188124e-01
0.000000000000000000e+00,1.787786369316953505e-01
1.000000000000000000e+00,3.342775397332120590e-01
0.000000000000000000e+00,1.695001902085155054e-01
0.000000000000000000e+00,1.792987781481317211e-01
1.000000000000000000e+00,3.734170687437537994e-01
1.000000000000000000e+00,3.910255658298120718e-01
1.000000000000000000e+00,3.821383336701654754e-01
0.000000000000000000e+00,2.052017734093303791e-01
0.000000000000000000e+00,1.900091274934493091e-01
0.000000000000000000e+00,6.000081088645160127e-02
0.000000000000000000e+00,1.718072885226007429e-01
0.000000000000000000e+00,1.727418801113110858e-01
1.000000000000000000e+00,4.098410106710014822e-01
1.000000000000000000e+00,8.612260785469804114e-01
1.000000000000000000e+00,2.536777508415466453e-01
0.000000000000000000e+00,1.943119009681644194e-01
1.000000000000000000e+00,3.277205837511157904e-01
1.000000000000000000e+00,4.169069029830824724e-01
0.000000000000000000e+00,1.322380645626430595e-01
0.000000000000000000e+00,1.849303332693722768e-01
0.000000000000000000e+00,1.794138169514438164e-01
0.000000000000000000e+00,2.026077301620231863e-01
1.000000000000000000e+00,2.727633610354094351e-01
0.000000000000000000e+00,1.813068682307368285e-01
0.000000000000000000e+00,1.721089721611852585e-01
0.000000000000000000e+00,1.675619633997958435e-01
1.000000000000000000e+00,5.044510108851814056e-01
0.000000000000000000e+00,8.522132569609745800e-02
0.000000000000000000e+00,8.348404004554789426e-02
0.000000000000000000e+00,2.596139603665280626e-01
