male,oof_probability
0.000000000000000000e+00,1.595504410939303230e-01
0.000000000000000000e+00,1.409476076172339887e-01
0.000000000000000000e+00,1.184201585234762877e-01
0.000000000000000000e+00,1.260731450378968221e-01
0.000000000000000000e+00,1.397728999584934573e-01
1.000000000000000000e+00,8.579585189044472981e-01
1.000000000000000000e+00,8.552783457467895145e-01
1.000000000000000000e+00,8.580145643087241369e-01
1.000000000000000000e+00,8.531159978683759970e-01
0.000000000000000000e+00,1.170293419614537450e-01
1.000000000000000000e+00,8.510998875506243788e-01
1.000000000000000000e+00,8.574026892201835892e-01
1.000000000000000000e+00,8.555855708784440017e-01
0.000000000000000000e+00,1.007588669601339748e-01
0.000000000000000000e+00,1.161977439562638797e-01
1.000000000000000000e+00,8.508144203026094532e-01
0.000000000000000000e+00,1.471847253253735777e-01
1.000000000000000000e+00,8.546510737270905933e-01
1.000000000000000000e+00,8.539345547084278287e-01
1.000000000000000000e+00,8.563092461408577938e-01
1.000000000000000000e+00,8.541049626693092423e-01
0.000000000000000000e+00,1.630775316550036602e-01
1.000000000000000000e+00,8.455336127399414314e-01
1.000000000000000000e+00,8.528649031272079739e-01
1.000000000000000000e+00,8.551664524746416252e-01
0.000000000000000000e+00,1.706983169814020873e-01
0.000000000000000000e+00,1.748091485937883771e-01
1.000000000000000000e+00,8.542649386826114410e-01
1.000000000000000000e+00,8.559033972151949277e-01
1.000000000000000000e+00,8.545404707605590566e-01
0.000000000000000000e+00,8.971301457909736099e-02
0.000000000000000000e+00,1.105808351239280229e-01
1.000000000000000000e+00,8.534075403669350024e-01
0.000000000000000000e+00,2.352253381646171870e-01
0.000000000000000000e+00,1.233711371208805752e-01
0.000000000000000000e+00,1.697656793561887478e-01
1.000000000000000000e+00,8.614453714307896970e-01
0.000000000000000000e+00,1.251621469661688968e-01
1.000000000000000000e+00,8.589248636517876623e-01
0.000000000000000000e+00,1.396686402092605361e-01
1.000000000000000000e+00,8.492158613492400976e-01
1.000000000000000000e+00,8.551833248813630606e-01
1.000000000000000000e+00,8.570269880875899249e-01
0.000000000000000000e+00,1.238320677599482472e-01
0.000000000000000000e+00,1.519903915000552497e-01
0.000000000000000000e+00,9.904394402343247306e-02
1.000000000000000000e+00,8.477809188328346846e-01
1.000000000000000000e+00,8.582569021146998489e-01
1.000000000000000000e+00,8.578884142223039966e-01
0.000000000000000000e+00,1.481219224381681576e-01
1.000000000000000000e+00,8.528799816955935365e-01
0.000000000000000000e+00,1.284587278086972706e-01
0.000000000000000000e+00,1.419924102721110692e-01
1.000000000000000000e+00,8.548339508396395336e-01
0.000000000000000000e+00,1.268657349651021449e-01
1.000000000000000000e+00,8.547133397828267087e-01
0.000000000000000000e+00,1.647242041412839975e-01
1.000000000000000000e+00,8.406491160116468242e-01
1.000000000000000000e+00,8.488646779017403610e-01
1.000000000000000000e+00,8.535045446201131591e-01
1.000000000000000000e+00,8.539474338001741271e-01
0.000000000000000000e+00,9.038766665710307180e-02
1.000000000000000000e+00,8.547578138979144979e-01
0.000000000000000000e+00,9.311203935339466831e-02
1.000000000000000000e+00,8.519820507645328167e-01
1.000000000000000000e+00,8.535022557235861784e-01
1.000000000000000000e+00,8.535805146933590493e-01
0.000000000000000000e+00,9.809567846136350855e-02
1.000000000000000000e+00,8.586504388877078675e-01
1.000000000000000000e+00,8.459472323379373382e-01
0.000000000000000000e+00,9.583398852595548245e-02
0.000000000000000000e+00,1.048326082431385864e-01
1.000000000000000000e+00,8.548283039253581350e-01
1.000000000000000000e+00,8.559183250278974420e-01
0.000000000000000000e+00,1.150856243875912066e-01
1.000000000000000000e+00,8.533748818208515274e-01
0.000000000000000000e+00,1.415376663739349172e-01
0.000000000000000000e+00,3.104131543512060332e-01
0.000000000000000000e+00,2.175336154707027125e-01
0.000000000000000000e+00,5.218686147601874215e-01
1.000000000000000000e+00,8.506206827777625934e-01
0.000000000000000000e+00,9.182738644564877872e-02
1.000000000000000000e+00,8.534936809755333531e-01
0.000000000000000000e+00,9.216891960045719978e-02
0.000000000000000000e+00,9.249225416795957277e-02
0.000000000000000000e+00,2.428712470537791879e-01
1.000000000000000000e+00,8.551631077384639346e-01
1.000000000000000000e+00,8.552554488137938948e-01
0.000000000000000000e+00,1.167693400365867468e-01
0.000000000000000000e+00,1.199732067864661827e-01
1.000000000000000000e+00,8.521698346013509839e-01
1.000000000000000000e+00,8.584952137497962044e-01
1.000000000000000000e+00,8.566552719511955072e-01
1.000000000000000000e+00,8.523086212601205247e-01
1.000000000000000000e+00,8.578174332393169177e-01
0.000000000000000000e+00,1.518149165260614386e-01
0.000000000000000000e+00,2.163925389249682640e-01
1.000000000000000000e+00,8.579905028948341394e-01
1.000000000000000000e+00,8.534075499484418126e-01
1.000000000000000000e+00,8.516156346433229052e-01
1.000000000000000000e+00,8.557506921459034910e-01
0.000000000000000000e+00,1.583461062600254599e-01
1.000000000000000000e+00,8.574506805104897822e-01
1.000000000000000000e+00,8.536176496721092910e-01
0.000000000000000000e+00,1.777594597951224764e-01
0.000000000000000000e+00,1.277246761705583822e-01
0.000000000000000000e+00,1.663635836093360632e-01
0.000000000000000000e+00,1.199442609044486796e-01
0.000000000000000000e+00,1.057535448685341106e-01
1.000000000000000000e+00,8.532813575997000299e-01
