keap1_mutant,oof_probability
1.000000000000000000e+00,4.590084935482499628e-01
0.000000000000000000e+00,1.818010714601561439e-01
0.000000000000000000e+00,1.819419583247990080e-01
0.000000000000000000e+00,2.239126994606594478e-01
0.000000000000000000e+00,1.701380734065882083e-01
0.000000000000000000e+00,1.765741081347862451e-01
0.000000000000000000e+00,1.773589855955674255e-01
1.000000000000000000e+00,5.153539843453517344e-01
0.000000000000000000e+00,1.742653501437026464e-01
0.000000000000000000e+00,1.704681474614668235e-01
1.000000000000000000e+00,3.184474994238656320e-01
0.000000000000000000e+00,8.849805464172708080e-02
0.000000000000000000e+00,2.612552260472310595e-01
0.000000000000000000e+00,1.748626139866088225e-01
0.000000000000000000e+00,3.111682497388801871e-01
0.000000000000000000e+00,1.783078484896013505e-01
1.000000000000000000e+00,5.680715420781308200e-01
0.000000000000000000e+00,1.712175128672182578e-01
0.000000000000000000e+00,1.719316824817113953e-01
1.000000000000000000e+00,3.291353659797334186e-01
0.000000000000000000e+00,1.938401677813344770e-01
0.000000000000000000e+00,2.042295742485867316e-01
0.000000000000000000e+00,2.001548744339292918e-01
0.000000000000000000e+00,1.871999252332063879e-01
0.000000000000000000e+00,1.930699487897243882e-01
0.000000000000000000e+00,9.135709447146986295e-02
1.000000000000000000e+00,4.936100004892657322e-01
0.000000000000000000e+00,3.257787545647493066e-01
0.000000000000000000e+00,1.729894371486225824e-01
0.000000000000000000e+00,1.779135904561094106e-01
0.000000000000000000e+00,1.757092950136651954e-01
0.000000000000000000e+00,1.976478086348232022e-01
0.000000000000000000e+00,6.032381754602000878e-01
0.000000000000000000e+00,1.699374989843736861e-01
0.000000000000000000e+00,1.747257249475198393e-01
1.000000000000000000e+00,2.017908783363784320e-01
0.000000000000000000e+00,1.760942452787781776e-01
0.000000000000000000e+00,1.231740839216077799e-01
0.000000000000000000e+00,1.736726123431887592e-01
0.000000000000000000e+00,2.165289576126197268e-01
0.000000000000000000e+00,1.793103494371676987e-01
0.000000000000000000e+00,7.154982748986672692e-02
0.000000000000000000e+00,1.909954287837333231e-01
0.000000000000000000e+00,1.849178776638769617e-01
0.000000000000000000e+00,1.832471599504902349e-01
0.000000000000000000e+00,1.800321320448398377e-01
0.000000000000000000e+00,1.741780118555585066e-01
0.000000000000000000e+00,8.442680633381709210e-02
0.000000000000000000e+00,1.748274978010647129e-01
0.000000000000000000e+00,1.708151022858260260e-01
0.000000000000000000e+00,1.715456675745803128e-01
1.000000000000000000e+00,4.070751800635434847e-01
0.000000000000000000e+00,1.754583540181826884e-01
0.000000000000000000e+00,2.317699851037442194e-01
0.000000000000000000e+00,1.947698690156999257e-01
0.000000000000000000e+00,5.968529260873012277e-01
0.000000000000000000e+00,1.818160551836167371e-01
0.000000000000000000e+00,1.643627988126970529e-01
0.000000000000000000e+00,1.082011584774886098e-01
1.000000000000000000e+00,2.774109813401596791e-01
1.000000000000000000e+00,2.962636599006598925e-01
0.000000000000000000e+00,1.765776994775775377e-01
0.000000000000000000e+00,3.414396054270154024e-01
0.000000000000000000e+00,1.346008322821043712e-01
0.000000000000000000e+00,1.837205116386201875e-01
0.000000000000000000e+00,2.075624423756698700e-01
0.000000000000000000e+00,1.795625574084084575e-01
0.000000000000000000e+00,3.351087912588248535e-02
0.000000000000000000e+00,1.782484397277086519e-01
0.000000000000000000e+00,1.804513085283022122e-01
1.000000000000000000e+00,2.664370534073590147e-01
0.000000000000000000e+00,1.767011400184743675e-01
1.000000000000000000e+00,4.350342138717311902e-01
0.000000000000000000e+00,1.814751247434123471e-01
0.000000000000000000e+00,1.752142236302106637e-01
0.000000000000000000e+00,2.075410379122038795e-01
1.000000000000000000e+00,5.461921271593884741e-01
0.000000000000000000e+00,1.911958824514691235e-01
0.000000000000000000e+00,9.312450393043240071e-01
0.000000000000000000e+00,1.776324641355638001e-01
0.000000000000000000e+00,1.841328333950476293e-01
1.000000000000000000e+00,4.626422139238731135e-01
0.000000000000000000e+00,1.779132781429814958e-01
0.000000000000000000e+00,2.680656447570615719e-01
1.000000000000000000e+00,5.442573576838463101e-01
0.000000000000000000e+00,4.369756589987636719e-01
0.000000000000000000e+00,1.784881511327468806e-01
1.000000000000000000e+00,1.933752971414115229e-01
1.000000000000000000e+00,4.884904633582411448e-01
0.000000000000000000e+00,1.963411135679711261e-01
1.000000000000000000e+00,5.870854418247299922e-01
1.000000000000000000e+00,1.715071341250860026e-01
0.000000000000000000e+00,2.071512352037067906e-01
0.000000000000000000e+00,3.129017414125309648e-01
0.000000000000000000e+00,1.980342117485397735e-01
1.000000000000000000e+00,3.402129383557970788e-01
0.000000000000000000e+00,1.908800313358197942e-01
1.000000000000000000e+00,4.780930623496221221e-01
1.000000000000000000e+00,6.823220509529632771e-01
0.000000000000000000e+00,4.545798595772222450e-01
0.000000000000000000e+00,1.855346384710004626e-01
0.000000000000000000e+00,2.279848422096046601e-01
0.000000000000000000e+00,1.974424880968216334e-01
0.000000000000000000e+00,3.551687206622508031e-01
0.000000000000000000e+00,9.410163642476802870e-02
0.000000000000000000e+00,2.794723411323529194e-01
1.000000000000000000e+00,5.815465753243247438e-01
0.000000000000000000e+00,2.310919619065699426e-01
0.000000000000000000e+00,1.796110978234192190e-01
0.000000000000000000e+00,1.658934392544037795e-01
0.000000000000000000e+00,2.063820279305431660e-01
0.000000000000000000e+00,1.790487525235420208e-01
0.000000000000000000e+00,1.886785646818387729e-01
1.000000000000000000e+00,2.035842002936089912e-01
0.000000000000000000e+00,2.703469059056249346e-01
0.000000000000000000e+00,1.812716542521996543e-01
0.000000000000000000e+00,1.845631074928136550e-01
0.000000000000000000e+00,4.625008015509424891e-02
0.000000000000000000e+00,1.759489084995453922e-01
0.000000000000000000e+00,3.845462933029838437e-01
0.000000000000000000e+00,1.904285221008450990e-01
0.000000000000000000e+00,7.329692898910034060e-02
0.000000000000000000e+00,2.056818038678109861e-01
0.000000000000000000e+00,1.929317850584036931e-01
0.000000000000000000e+00,4.662756930668278676e-01
0.000000000000000000e+00,1.942819875891080017e-01
0.000000000000000000e+00,1.917663204693524082e-01
0.000000000000000000e+00,1.890457522379700994e-01
0.000000000000000000e+00,3.905644360541625226e-01
0.000000000000000000e+00,1.807999645162327584e-01
0.000000000000000000e+00,1.826654653993069199e-01
0.000000000000000000e+00,1.918772141271163634e-01
0.000000000000000000e+00,7.341340144381865163e-02
0.000000000000000000e+00,1.752572540510849430e-01
0.000000000000000000e+00,7.849711448364717070e-02
1.000000000000000000e+00,4.643154944451225452e-01
1.000000000000000000e+00,9.890982186639519780e-01
0.000000000000000000e+00,1.886219199621678444e-01
0.000000000000000000e+00,1.219082496672892202e-01
0.000000000000000000e+00,1.775539496910719661e-01
0.000000000000000000e+00,2.400570643077508948e-01
0.000000000000000000e+00,8.886855734308085619e-02
1.000000000000000000e+00,3.330638224032644312e-01
0.000000000000000000e+00,1.149055300851140465e-01
1.000000000000000000e+00,9.910686678358364698e-01
0.000000000000000000e+00,5.406678198497481130e-02
0.000000000000000000e+00,9.691863915411389474e-01
0.000000000000000000e+00,1.782922771952982210e-01
0.000000000000000000e+00,1.736550707078240718e-01
0.000000000000000000e+00,1.771055243808516699e-01
0.000000000000000000e+00,1.821301792680469489e-01
0.000000000000000000e+00,1.815915324466727543e-01
0.000000000000000000e+00,3.295560315890482816e-01
0.000000000000000000e+00,1.836112843117141125e-01
0.000000000000000000e+00,1.808720185540085568e-01
0.000000000000000000e+00,1.828486511540749482e-01
0.000000000000000000e+00,1.900280194868452788e-01
0.000000000000000000e+00,1.701032281985128403e-01
1.000000000000000000e+00,1.991354912398428934e-01
1.000000000000000000e+00,4.456910302198512919e-01
0.000000000000000000e+00,2.008439335914071477e-01
0.000000000000000000e+00,1.749106777737165774e-01
